# English loanwords as they appear in Devanagari Hindi transcripts -> standard English spelling.
# Built from the ~2,500 most frequent words in the IndicVoices Hindi transcripts (valid + first train shard).
# Ambiguous forms (e.g. पी = "P" or "drink", वेट = "wait" or "weight") are deliberately left out.
# devanagari	english
सर	sir
टाइम	time
मैम	ma'am
मेम	ma'am
ओके	okay
रेट	rate
कार्ड	card
जीरो	zero
ज़ीरो	zero
मोबाइल	mobile
कलर	colour
इस्कूल	school
स्कूल	school
क्वालिटी	quality
क्वालटी	quality
नंबर	number
नम्बर	number
किलो	kilo
बैंक	bank
बैंकिंग	banking
हेलो	hello
हलो	hello
हैलो	hello
मैडम	madam
गेम	game
रोड	road
पेमेंट	payment
यूज़	use
यूज	use
ऑनलाइन	online
चार्ज	charge
चार्जर	charger
बुक	book
बुकिंग	booking
फोन	phone
फ़ोन	phone
कॉल	call
चेक	check
गैस	gas
होटल	hotel
फोटो	photo
फ़ोटो	photo
फ़ोटोज़	photos
इंग्लिश	English
मार्केट	market
बाइक	bike
बाइकिंग	biking
प्रॉब्लम	problem
ऑर्डर	order
आर्डर	order
ऑडर	order
पासपोर्ट	passport
पार्क	park
टीचर	teacher
बिजनेस	business
क्लास	class
बिल	bill
रूम	room
कार	car
वीडियो	video
बीडियो	video
किलोमीटर	kilometre
सीट	seat
कॉलेज	college
थैंक	thank
डान्स	dance
डांस	dance
फैमिली	family
फ़ैमिली	family
डॉक्टर	doctor
डोकटर	doctor
लोन	loan
सूट	suit
क्रिकेट	cricket
किरकेट	cricket
शर्ट	shirt
डेट	date
कैमरा	camera
कैमरे	camera
कम्पनी	company
कंपनी	company
एड्रेस	address
पीस	piece
साइकिल	cycle
सइकिल	cycle
सइकल	cycle
डिजाइन	design
डिज़ाइन	design
मिनट	minute
बजट	budget
ऑफिस	office
आफिस	office
टाइप	type
एरिया	area
सेट	set
साइड	side
सर्विस	service
सर्विसिंग	servicing
हॉस्पिटल	hospital
जॉब	job
पेपर	paper
डिस्काउंट	discount
डेली	daily
फ्री	free
पार्टी	party
लाइन	line
रेंज	range
मसीन	machine
मशीन	machine
रनिंग	running
परसेंट	percent
प्लास्टिक	plastic
जोमेटो	Zomato
ट्रेन	train
प्राइस	price
रेस्टोरेंट	restaurant
पेन	pen
शॉप	shop
सॉप	shop
शॉपिंग	shopping
लीटर	litre
टेक्नोलोजी	technology
टेक्नोलॉजी	technology
कम्पूटर	computer
कंप्यूटर	computer
लेट	late
अपडेट	update
ट्रेक्टर	tractor
ट्रैक्टर	tractor
पैंट	pant
प्रोजेक्ट	project
ग्रेवी	gravy
बट	but
